2_Data_Typ,sourceid,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
Width of sidewalk,"333572301","1","1",3.53,3.53,0,3.53,3.53,3.53,0,3.53,3.53,3.53,3.53,0
On-street parking,"333572301","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of bike lane and shoulder,"333572301","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"333572301","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"266143436","1","1",1.5,1.5,0,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,0
Width of sidewalk,"266143437","1","1",1.47,1.47,0,1.47,1.47,1.47,0,1.47,1.47,1.47,1.47,0
Buffer,"333572300","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Number of lanes,"333572300","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"333572300","1","1",3.53,3.53,0,3.53,3.53,3.53,0,3.53,3.53,3.53,3.53,0
On-street parking,"333572300","1","1",0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
Width of sidewalk,"114207954","2","2",2.95,3.4,0.45,6.35,3.175,3.175,0.225,2.95,2.95,2.95,3.4,0.45
Buffer,"114207954","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"114207954","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"333572303","2","1",3,3,0,6,3,3,0,3,3,3,3,0
Width of bike lane and shoulder,"333572302","2","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"333572302","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"333572302","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"333572302","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of sidewalk,"333572302","2","1",3.37,3.37,0,6.74,3.37,3.37,0,3.37,3.37,3.37,3.37,0
Number of lanes,"333572302","2","1",1,1,0,2,1,1,0,1,1,1,1,0
Width of sidewalk,"9821316","4","3",1.5,4.5,3,9.13,2.2825,1.565,1.28137377450922,1.63,1.5,1.5,3.065,1.565
Width of bike lane and shoulder,"9821316","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"9821316","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"9821316","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"9821316","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Number of lanes,"9821316","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"264763337","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Number of lanes,"264763337","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"264763337","1","1",3,3,0,3,3,3,0,3,3,3,3,0
Number of lanes,"264519575","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"264519575","1","1",1.46,1.46,0,1.46,1.46,1.46,0,1.46,1.46,1.46,1.46,0
Width of sidewalk,"9821323","2","2",1.48,1.6,0.12,3.08,1.54,1.54,0.0600000000000001,1.48,1.48,1.48,1.6,0.12
Buffer,"9821323","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of bike lane and shoulder,"9821323","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"9821323","2","1",1,1,0,2,1,1,0,1,1,1,1,0
Width of sidewalk,"9821325","1","1",1.94,1.94,0,1.94,1.94,1.94,0,1.94,1.94,1.94,1.94,0
Width of bike lane and shoulder,"266143434","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"266143434","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"266143434","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of sidewalk,"266143435","4","4",1.3,2.95,1.65,7.98,1.995,1.865,0.642903569752105,1.3,1.3,1.415,2.575,1.16
On-street parking,"266143435","2","2",0,1,1,1,0.5,0.5,0.5,0,0,0,1,1
Number of lanes,"266143435","2","1",1,1,0,2,1,1,0,1,1,1,1,0
Buffer,"266143435","2","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of bike lane and shoulder,"9821322","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"9821322","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"9821322","1","1",1.75,1.75,0,1.75,1.75,1.75,0,1.75,1.75,1.75,1.75,0
Buffer,"9821322","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"9821322","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Number of lanes,"9821322","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"329647751","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"329647751","2","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of bike lane and shoulder,"329647751","3","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"329647751","2","1",1,1,0,2,1,1,0,1,1,1,1,0
Width of sidewalk,"329647751","1","1",2.88,2.88,0,2.88,2.88,2.88,0,2.88,2.88,2.88,2.88,0
Number of lanes,"329647751","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"333572303","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"333572303","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"333572303","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"265529038","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of sidewalk,"265529038","3","3",0.84,3.4,2.56,6.6,2.2,2.36,1.05122151170277,0.84,0.84,1.6,2.88,1.28
On-street parking,"265529038","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Number of lanes,"265529038","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"265529038","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of sidewalk,"264519572","1","1",2,2,0,2,2,2,0,2,2,2,2,0
Buffer,"264519571","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"264519571","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Number of lanes,"264519571","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"114207956","3","3",2.93,5.8,2.87,11.7,3.9,2.97,1.34360212364623,2.93,2.93,2.95,4.385,1.435
Width of bike lane and shoulder,"114207956","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Buffer,"114207956","1","1",0,0,0,0,0,0,0,0,0,0,0,0
On-street parking,"114207956","1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"114207956","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of bike lane and shoulder,"264519574","2","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"264519574","2","1",1,1,0,2,1,1,0,1,1,1,1,0
Number of lanes,"264519574","1","1",1,1,0,1,1,1,0,1,1,1,1,0
Buffer,"264519574","2","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of sidewalk,"264519574","2","2",1.47,1.5,0.03,2.97,1.485,1.485,0.015,1.47,1.47,1.47,1.5,0.03
On-street parking,"264519574","1","1",0,0,0,0,0,0,0,0,0,0,0,0
